Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
Supertech Supernova,"Sector 94, Noida",23700000,11258,"2,105 sqft",3 BHK,Ready To Move,N/A,TR ESTATES,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-supernova-sector-94-noida-2105-sq-ft-r3-spid-W75020903,N/A,page_100.html
Amrapali Silicon City,"Sector 76, Noida",16500000,8991,"1,835 sqft",3 BHK,Ready To Move,Dealer·2w ago,DZIRE HOMES,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-amrapali-silicon-city-sector-76-noida-1835-sq-ft-spid-E80497835,N/A,page_100.html
ACE Golfshire,"Sector 150, Noida",11500000,9623,"1,195 sqft",2 BHK,Ready To Move,N/A,OSD Properties & Developers,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ace-golfshire-sector-150-noida-1195-sq-ft-r1-spid-J78662049,N/A,page_100.html
ABA Cleo County,"sector 121, Noida",22500000,16666,"1,350 sqft",3 BHK,Ready To Move,N/A,Everonn Value Ventures,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-aba-cleo-county-sector-121-noida-1350-sq-ft-spid-M79948953,N/A,page_100.html
Exotica Fresco,"Sector 137, Noida",35000000,15384,"2,275 sqft",4 BHK,Ready To Move,Dealer·1w ago,R.k. Property,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-exotica-fresco-sector-137-noida-2275-sq-ft-spid-F80659583,N/A,page_100.html
ABA Cleo County,"sector 121, Noida",24000000,17777,"1,350 sqft",3 BHK,Ready To Move,Dealer·1w ago,RUDRA PROPERTY INN PRIVATE LIMITED,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-aba-cleo-county-sector-121-noida-1350-sq-ft-spid-I80633463,N/A,page_100.html
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_100.html
3C Lotus Boulevard,"Sector 100, Noida",15000000,11904,"1,260 sqft",2 BHK,Ready To Move,Dealer·1mo ago,Property Baskets,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-boulevard-sector-100-noida-1260-sq-ft-spid-B79565921,N/A,page_100.html
ATS Pious Hideaways,"Sector 150, Noida",19500000,11641,"1,675 sqft",3 BHK,Ready To Move,Dealer·2w ago,Trusted Realtors,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1675-sq-ft-spid-Q80488979,N/A,page_100.html
Manisha Marvel Homes,"Sector 61, Noida",22500000,13595,"1,655 sqft",3 BHK,Ready To Move,Dealer·1w ago,GANPATI PROPERTIES,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-manisha-marvel-homes-sector-61-noida-1655-sq-ft-r1-spid-X79325301,N/A,page_100.html
Aditya Urban Casa,"Sector 78, Noida",23200000,10593,"2,190 sqft",4 BHK,Ready To Move,Dealer·1mo ago,Properties port,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-aditya-urban-casa-sector-78-noida-2190-sq-ft-spid-U79795501,N/A,page_100.html
